Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Spectral Class,Star type
3068,0.0024,0.17,16.12,0,0
3042,0.0005,0.1542,16.6,0,0
2600,0.0003,0.102,18.7,0,0
2800,0.0002,0.16,16.65,0,0
1939,0.000138,0.10300000000000001,20.06,0,0
2840,0.00065,0.11,16.98,0,0
2637,0.00073,0.127,17.22,0,0
2600,0.0004,0.096,17.4,0,0
2650,0.0006900000000000001,0.11,17.45,0,0
2700,0.00018,0.13,16.05,0,0
3600,0.0029,0.51,10.69,0,1
3129,0.0122,0.3761,11.79,0,1
3134,0.0004,0.196,13.21,0,1
3628,0.0055,0.39299999999999996,10.48,0,1
2650,0.0006,0.14,11.782,0,1
3340,0.0038,0.24,13.07,0,1
2799,0.0018,0.16,14.79,0,1
3692,0.00367,0.47,10.8,0,1
3192,0.0036200000000000004,0.1967,13.53,0,1
3441,0.039,0.35100000000000003,11.18,0,1
25000,0.055999999999999994,0.0084,10.58,5,2
7740,0.00049,0.01234,14.02,4,2
7220,0.00016999999999999999,0.011000000000000001,14.23,3,2
8500,0.0005,0.01,14.5,4,2
16500,0.013000000000000001,0.013999999999999999,11.89,5,2
12990,8.499999999999999e-05,0.00984,12.23,3,2
8570,0.00081,0.0097,14.2,4,2
7700,0.00011,0.0128,14.47,3,2
11790,0.00015,0.011000000000000001,12.59,3,2
7230,8e-05,0.013000000000000001,14.08,3,2
39000,204000.0,10.6,-4.7,6,3
30000,28840.0,6.3,-4.2,5,3
15276,1136.0,7.2,-1.97,5,3
9700,74.0,2.89,0.16,5,3
5800,0.81,0.9,5.05,3,3
8052,8.7,1.8,2.42,4,3
6757,1.43,1.12,2.41,3,3
6380,1.35,0.98,2.93,3,3
5936,1.357,1.1059999999999999,4.46,3,3
5587,0.8190000000000001,0.99,5.03,3,3
3826,200000.0,19.0,-6.93,0,4
3365,340000.0,23.0,-6.2,0,4
3270,150000.0,88.0,-6.02,0,4
3200,195000.0,17.0,-7.22,0,4
3008,280000.0,25.0,-6.0,0,4
3600,320000.0,29.0,-6.6,0,4
3575,123000.0,45.0,-6.78,0,4
3574,200000.0,89.0,-5.24,0,4
3625,184000.0,84.0,-6.74,0,4
33750,220000.0,26.0,-6.1,5,4
3490,270000.0,1520.0,-9.4,0,5
3750,283000.0,1260.0,-7.63,0,5
3834,272000.0,1183.0,-9.2,0,5
3749,550000.0,1648.0,-8.05,0,5
3650,310000.0,1324.0,-7.79,0,5
3450,263000.0,1349.0,-11.75,0,5
3660,363000.0,1673.0,-11.92,0,5
3450,174000.0,1284.0,-11.28,0,5
3752,209000.0,955.0,-11.24,0,5
3535,195000.0,1546.0,-11.36,0,5
3341,0.0056,0.057,16.23,0,0
