Class Index,Title,Description
3,wall st bears claw back into the black reuters,reuters  short sellers wall street s dwindling band of ultra cynics are seeing green again
3,carlyle looks toward commercial aerospace reuters,reuters  private investment firm carlyle group which has a reputation for making well timed and occasionally controversial plays in the defense industry has quietly placed its bets on another part of the market
3,oil and economy cloud stocks outlook reuters,reuters  soaring crude prices plus worries about the economy and the outlook for earnings are expected to hang over the stock market next week during the depth of the summer doldrums
3,iraq halts oil exports from main southern pipeline reuters,reuters  authorities have halted oil export flows from the main pipeline in southern iraq after intelligence showed a rebel militia could strike infrastructure an oil official said on saturday
3,oil prices soar to all time record posing new menace to us economy afp,afp  tearaway world oil prices toppling records and straining wallets present a new economic menace barely three months before the us presidential elections
3,stocks end up but near year lows reuters,reuters  stocks ended slightly higher on friday but stayed near lows for the year as oil prices surged past  36 46 a barrel offsetting a positive outlook from computer maker dell inc  dell o
3,money funds fell in latest week ap,ap  assets of the nation s retail money market mutual funds fell by  36 1 17 billion in the latest week to  36 849 98 trillion the investment company institute said thursday
3,fed minutes show dissent over inflation usatoday com,usatoday com  retail sales bounced back a bit in july and new claims for jobless benefits fell last week the government said thursday indicating the economy is improving from a midsummer slump
3,safety net forbes com,forbes com  after earning a ph d in sociology danny bazil riley started to work as the general manager at a commercial real estate firm at an annual base salary of  36 70 000 soon after a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer but at 32  buying insurance was the furthest thing from my mind  says riley
3,wall st bears claw back into the black,new york reuters  short sellers wall street s dwindling band of ultra cynics are seeing green again
3,oil and economy cloud stocks outlook,new york reuters  soaring crude prices plus worries about the economy and the outlook for earnings are expected to hang over the stock market next week during the depth of the summer doldrums
3,no need for opec to pump more iran gov,tehran reuters  opec can do nothing to douse scorching oil prices when markets are already oversupplied by 2 8 million barrels per day bpd of crude iran s opec governor said saturday warning that prices could fall sharply
3,non opec nations should up output purnomo,jakarta reuters  non opec oil exporters should consider increasing output to cool record crude prices opec president purnomo yusgiantoro said on sunday
3,google ipo auction off to rocky start,washington new york reuters  the auction for google inc s highly anticipated initial public offering got off to a rocky start on friday after the web search company sidestepped a bullet from u s securities regulators
3,dollar falls broadly on record trade gap,new york reuters  the dollar tumbled broadly on friday after data showing a record u s trade deficit in june cast fresh doubts on the economy s recovery and its ability to draw foreign capital to fund the growing gap
3,rescuing an old saver,if you think you may need to help your elderly relatives with their finances don t be shy about having the money talk  soon
3,kids rule for back to school,the purchasing power of kids is a big part of why the back to school season has become such a huge marketing phenomenon
3,in a down market head toward value funds,there is little cause for celebration in the stock market these days but investors in value focused mutual funds have reason to feel a bit smug  if only because they ve lost less than the folks who stuck with growth
3,us trade deficit swells in june,the us trade deficit has exploded 19 to a record $55 8bn as oil costs drove imports higher according to a latest figures
3,shell could be target for total,oil giant shell could be bracing itself for a takeover attempt possibly from french rival total a press report claims
3,google ipo faces playboy slip up,the bidding gets underway for google s public offering despite last minute worries over an interview with its bosses in playboy magazine
3,eurozone economy keeps growing,official figures show the 12 nation eurozone economy continues to grow but there are warnings it may slow down later in the year
3,expansion slows in japan,economic growth in japan slows down as the country experiences a drop in domestic and corporate spending
3,rand falls on shock sa rate cut,interest rates are trimmed to 7 5 by the south african central bank  but the lack of warning hits the rand and surprises markets
3,car prices down across the board,the cost of buying both new and second hand cars fell sharply over the past five years a new survey has found
3,south korea lowers interest rates,south korea s central bank cuts interest rates by a quarter percentage point to 3 5 in a bid to drive growth in the economy
3,google auction begins on friday,an auction of shares in google the web search engine which could be floated for as much as $36bn takes place on friday
3,hp shares tumble on profit news,hewlett packard shares fall after disappointing third quarter profits while the firm warns the final quarter will also fall short of expectations
3,mauritian textile firm cuts jobs,one of the oldest textile operators on the indian ocean island of mauritius last week shut seven factories and cut 900 jobs
3,chad seeks refugee aid from imf,chad asks the imf for a loan to pay for looking after more than 100 000 refugees from conflict torn darfur in western sudan
3,japan nuclear firm shuts plants,the company running the japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks
3,veteran inventor in market float,trevor baylis the veteran inventor famous for creating the freeplay clockwork radio is planning to float his company on the stock market
3,saudi arabia to open up oil taps,saudi arabia says it is ready to push an extra 1 3 million barrels a day of oil into the market to help reverse surging prices
3,saudi phone sector gets $1bn lift,a group led by the uae s etisalat plans to spend $1bn 544m on expansion after winning two mobile phone licences in saudi arabia
3,indians fill rail skills shortage,network rail flies in specialist indian engineers to work on the west coast mainline because of a uk skills shortage
3,steady as they go,bedford  scientists at nitromed inc hope their experimental drugs will cure heart disease someday but lately their focus has been on more mundane matters
3,google ipo type in confusing  secrecy,i ve submitted my bid to buy shares of google inc in the computer search company s giant auction style initial public offering that could turn out to be the good news or the bad news
3,a bargain hunter s paradise,massachusetts bargain hunters showed up in droves and shopped hard on yesterday s sales tax holiday buying everything from treadmills and snow blowers to candles and chandeliers and crediting the 5 percent tax break with bringing them into the stores
3,researchers seek to untangle the e mail thread,e mail is a victim of its own success that s the conclusion of ibm corp researchers in cambridge who have spent nearly a decade conducting field tests at ibm and other companies about how employees work and use electronic mail it s clear to them that e mail has become the internet s killer application
3,microsoft corp 2 0 a kinder corporate culture,even a genius can mess up bill gates was a brilliant technologist when he cofounded microsoft  but as he guided it to greatness in both size and historical consequence he blundered he terrorized underlings with his temper and parceled out praise like scrooge gave to charity only the lash inspired the necessary aggressiveness to beat the competition he thought
3,letters,target the abusers of legal weapons we can all share the outrage expressed by columnist steve bailey  summer sizzler quot aug 11  at the killings in the city s poor neighborhoods but there s no need to share his ignorance he argues for renewal of the so called assault weapon ban claiming that otherwise  uzis and ak 47s could again be flooding the streets quot his
3,somewhere between gleam and gloom,president bush has been saying that the us economy has  turned the corner quot democratic presidential candidate senator john f kerry in the wake of this month s poor jobs report quipped that it was more like a u turn
3,technology company sues five ex employees,a marlborough based technology company is suing five former employees including three senior managers for allegedly conspiring against their employer while working on opening a competing business
3,grant to aid lynn central square,central square in lynn should be looking a bit brighter new sidewalks curbs fences lights landscaping and road improvements are planned for the gateway artisan block a key area of the square with $830 000 in state grant money given to lynn last week
3,state grant to aid lynn bank gives salem $10k,central square in lynn should be looking a bit brighter new sidewalks curbs fences lights landscaping and road improvements are planned for the gateway artisan block a key area of the square with $830 000 in state grant money given to lynn last week
3,a new legal chapter for a 90 s flameout,a lawsuit against gary winnick the former chief of global crossing refocuses attention on what mr winnick knew about his company s finances as it imploded
3,will russia the oil superpower flex its muscles,russia is again emerging as a superpower  but the reason has less to do with nuclear weapons than with oil
3,switching titles if not gears at dell,kevin b rollins the new chief executive of dell talks about dell s transitory slip in customer service and why he sees a broader technology recovery taking place
3,for sale the ultimate status symbol,with the country in need of cash and rich people dying to show off their wealth mr stein proposes a unique solution having the government sell titles of nobility
3,quality gets swept away,quality distribution is hammered after reporting a large loss for the second quarter
3,making your insurer pay,if hurricane charley blows your house down how can you make your insurance company pay
3,delightful dell,the company s results show that it s not grim all over tech world just all of it that isn t dell
3,chrysler s bling king,after a tough year detroit s troubled carmaker is back  thanks to a maverick designer and a car that is dazzling the hip hop crowd
3,what s cool in the pool   and hot on the deck,americans are spending more on tricking out the places where they swim here s a look at the new wave of accessories
3,the age of doom,in 1993 six geeks had a digital nightmare that changed the culture it s about to get far creepier
3,hip hop s online shop,celebrity fashion is booming these webpreneurs are bringing it to main street
3,stoking the steamroller,no other recording artist can channel american middle class tastes quite like chip davis and his best selling band
3,coming to the rescue,got a unique problem not to worry you can find a financial planner for every specialized need
3,the new customers are in town,today s customers are increasingly demanding in asia as elsewhere in the world  henry astorga describes the complex reality faced by today s marketers which includes much higher expectations than we have been used to  today s customers want performance and they want it now
3,barrel of monkeys 2004 edition notes on philippine elections,well it s election time in the republic of the philippines and that means the monkeys are rolling around in those political barrels having as much fun as they can while laughing their heads off at the strange goings on that characterize a democratic process loosely based on the american model but that de facto looks more like a fellini movie crossed with a tom and jerry cartoon  column includes a useful election year glossary
3,oldsmobile the final parking lot,why general motors dropped the oldsmobile the four brand paradoxes gm had to face  the name the product image re positioning and the consumer  all added up to a brand that had little hope of rebranding
3,not all jobs belong to the white man asian minorities affirmative action and the quest for parity at work,although a smattering of chinese filipinos japanese indians thais and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the usa these accomplishments become mere cultural high fives and ritualistic chest thumping goaded and impishly patronized by mainstream society  the milder and gentler term for the white dominated populace
3,downhome pinoy blues intersecting life paths and heartbreak songs,the blues is alive and well in the philippines as evidenced by this appreciation of the pinoy blues band lampano alley  penned by columnist clarence henderson as a counterpoint to his usual economics business and culture fare
3,the real time modern manila blues bill monroe meets muddy waters in the orient,globalization does strange things to people a day in the life of a manila philippines based business consultant  proving that you really can talk about muddy walters bluegrass and work all on the same page
3,best asian tourism destinations,the new apmf survey of the best asian tourism destinations has just kicked off but it s crowded at the top with chiang mai in thailand just leading from perennial favourites hong kong bangkok and phuket in thailand and bali in indonesia be one of the first to vote and let us know your reasons
3,what are the best cities for business in asia,one of our new categories in the apmf sense of place survey is for best asian business city after a couple of days singapore leads the pack followed by bangkok thailand and hong kong enter your vote and comments and make your views count more new categories include best city for livability and best tourism destinations
